Year,Month, CerroPrieto.EvaporationRate,Riego.FractionalReturnFlow,CerroPrieto.Release,LaBoca.Release,LaBoca.Evaporation,PozosAreaMetropolitana.Percolation,AreaMetropolitanadeMonterrey.FractionalReturnFlow,AreaMetropolitanadeMonterrey.AvailableSupplementalWater, DR031.FractionalReturnFlow,DR031.Diversion,ElCuchillo.EvaporationRate,AcueductoRegionalChinaAldama.FractionalReturnFlow,AcueductoRegionalChinaAldama.Diversion,DR026.Diversion,DR026.FractionalReturnFlow
18,3,0.12335,1,0.75,0,0.49,2.075136612,0.71,0.26,1,2,0.19684,1,0.339,35,1
18,4,0.16141,1,0.75,0,0.436,2.008196721,0.71,0.26,1,2,0.22159,1,0.339,35,1
18,5,0.20369,1,0.75,0,0.549,2.075136612,0.71,0.26,1,2,0.27351,1,0.339,35,1
18,6,0.14141,1,0.75,0,0.525,2.008196721,0.71,0.26,1,2,0.2,1,0.339,35,1
18,7,0.23305,1,0.75,0,0.532,2.075136612,0.71,0.26,1,2,0.2,1,0.339,35,1
18,8,-0.08215,1,0.75,0,0.398,2.075136612,0.71,0.26,1,2,0.31696,1,0.339,35,1
18,9,0.12956,1,0.75,0,0.222,2.008196721,0.71,0.26,1,2,0.24059,1,0.339,35,1
18,10,0.05859,1,0.75,0,0.195,2.075136612,0.71,0.26,1,2,0.19975,1,0.339,35,1
18,11,0.07734,1,0.75,0,0.153107,2.008196721,0.71,0.26,1,2,0.12067,1,0.339,35,1
18,12,0.10706,1,0.75,0,0.150061,2.075136612,0.71,0.26,1,2,0.10791,1,0.339,35,1
19,1,0.0883,1,0.75,0,0.144354,2.080821918,0.71,0.26,1,2,0.10442,1,0.339,35,1
19,2,0.19291,1,0.75,0,0.164523,1.879452055,0.71,0.26,1,2,0.14151,1,0.339,35,1
19,3,0.21467,1,0.75,0,0.236541,2.080821918,0.71,0.26,1,2,0.18953,1,0.339,35,1
19,4,0.2311,1,0.75,0,0.228501,2.01369863,0.71,0.26,1,2,0.28811,1,0.339,35,1
19,5,0.12239,1,0.75,0,0.357752,2.080821918,0.71,0.26,1,2,0.27188,1,0.339,35,1
19,6,0.12867,1,0.75,0,0.369343,2.01369863,0.71,0.26,1,2,0.20371,1,0.339,35,1
19,7,0.23345,1,0.75,0,0.596568,2.080821918,0.71,0.26,1,2,0.31375,1,0.339,35,1
19,8,-0.1887,1,0.75,0,0.483755,2.080821918,0.71,0.26,1,2,0.0646,1,0.339,35,1
19,9,-0.09567,1,0.75,0,0.270677,2.01369863,0.71,0.26,1,2,0.17929,1,0.339,35,1
19,10,0.06597,1,0.75,0,0.152926,2.080821918,0.71,0.26,1,2,0.17378,1,0.339,35,1
19,11,0.08149,1,0.75,0,0.088474186,2.01369863,0.71,0.26,1,2,0.12526,1,0.339,35,1
19,12,0.02789,1,0.75,0,0.100672818,2.080821918,0.71,0.26,1,2,0.06993,1,0.339,35,1
20,1,0.0759,1,0.75,0,0.15201688,2.080821918,0.71,0.26,1,2,0.31332,1,0.339,35,1
20,2,0.1079,1,0.75,0,0.240347,1.879452055,0.71,0.26,1,2,0.05078,1,0.339,35,1
20,3,0.13492,1,0.75,0,0.274827,2.080821918,0.71,0.26,1,2,-0.04324,1,0.339,35,1
20,4,0.17342,1,0.75,0,0.382296,2.01369863,0.71,0.26,1,2,0.06629,1,0.339,35,1
20,5,0.0825,1,0.75,0,0.486768813,2.080821918,0.71,0.26,1,2,0.11343,1,0.339,35,1
20,6,0.21947,1,0.75,0,0.422253616,2.01369863,0.71,0.26,1,2,0.12955,1,0.339,35,1
